First Name,Last Name,Gender,E Mail,Date of Birth,Date of Joining,Salary,Last % Hike,Zip
Suzi,Fujita,F,suzi.fujita@hotmail.com,2/24/1986,5/20/2008,140999,29%,20549
Leann,Cangelosi,F,leann.cangelosi@bellsouth.net,10/7/1997,4/16/2019,99550,24%,68350
Cicely,Havel,F,cicely.havel@shaw.ca,11/2/1970,12/25/2001,174512,13%,11742
Boyd,Cone,M,boyd.cone@yahoo.com,8/13/1967,5/3/2015,87780,2%,6114
Byron,Foulks,M,byron.foulks@gmail.com,11/1/1966,11/17/1995,123510,17%,68009
Nicola,Rickel,F,nicola.rickel@hotmail.co.uk,5/19/1999,5/30/2020,119710,10%,80908
Jared,Devane,M,jared.devane@sbcglobal.net,3/16/1966,6/24/2010,90946,27%,42635
Amos,Tallant,M,amos.tallant@exxonmobil.com,6/21/1987,9/26/2010,127736,14%,38947
Ken,Militello,M,ken.militello@hotmail.com,11/17/1997,4/14/2020,195872,12%,60504
Shari,Mae,F,shari.mae@aol.com,5/10/1963,11/18/1995,165947,30%,24873
Ned,Raleigh,M,ned.raleigh@gmail.com,3/10/1999,7/1/2020,162273,18%,11965
Lilliam,Campisi,F,lilliam.campisi@verizon.net,6/6/1991,10/1/2015,123636,20%,55550
Samatha,Ammon,F,samatha.ammon@sbcglobal.net,11/28/1969,11/29/2009,98521,28%,56430
Brady,Shell,M,brady.shell@gmail.com,8/30/1996,10/1/2017,186944,9%,79932
Lolita,Ganey,F,lolita.ganey@hotmail.com,3/16/1980,8/16/2013,152449,8%,32065
Charlie,Dial,M,charlie.dial@aol.com,10/8/1991,1/27/2013,193618,0%,15710
Bradley,Saucedo,M,bradley.saucedo@charter.net,5/26/1993,5/17/2019,127055,6%,45251
Norah,Mcdill,F,norah.mcdill@yahoo.com,4/18/1963,3/12/1994,65911,25%,78760
Tyler,Tanksley,M,tyler.tanksley@bp.com,4/28/1971,5/26/2002,181834,0%,60108
Rod,Mee,M,rod.mee@ntlworld.com,5/24/1962,12/5/2005,186595,11%,91494
Reid,Krick,M,reid.krick@gmail.com,6/5/1989,11/29/2018,104726,20%,37187
Venus,Massenburg,F,venus.massenburg@hotmail.co.uk,6/9/1971,4/6/1998,143095,1%,61865
Boyd,Witmer,M,boyd.witmer@yahoo.com,11/14/1971,12/15/2002,119697,19%,72858
Norman,Oppenheimer,F,norman.oppenheimer@comcast.net,4/8/1975,8/30/1997,64764,18%,95663
Dee,Luther,F,dee.luther@gmail.com,12/29/1981,12/23/2009,154941,26%,70078
Ida,Wason,F,ida.wason@gmail.com,3/30/1964,6/17/2010,178271,7%,98950
Zella,Lai,F,zella.lai@gmail.com,11/30/1976,3/8/2010,136710,4%,68776
Jeremiah,Master,M,jeremiah.master@gmail.com,1/8/1986,4/20/2011,166108,3%,57060
Brandon,Minder,M,brandon.minder@yahoo.com,8/7/1961,3/21/2010,73765,14%,13688
Rueben,Borman,M,rueben.borman@gmail.com,3/6/1973,2/17/2017,113243,30%,77709
Mireya,Klock,F,mireya.klock@gmail.com,10/5/1996,6/24/2019,177455,9%,73561
Mendy,Merriweather,F,mendy.merriweather@sbcglobal.net,5/25/1970,2/12/2013,66881,26%,37829
Eileen,Leverett,F,eileen.leverett@ibm.com,9/10/1982,11/6/2005,182419,26%,43315
Dulce,Trotman,F,dulce.trotman@yahoo.co.uk,8/2/1981,10/4/2010,74352,7%,28712
Darius,Finn,M,darius.finn@gmail.com,6/18/1998,2/16/2020,112916,21%,38620
Ramiro,Paulk,M,ramiro.paulk@gmail.com,9/7/1982,12/3/2014,44128,12%,16930
Angel,Olmos,F,angel.olmos@gmail.com,4/11/1988,11/5/2014,139779,10%,79057
Lory,Crossman,F,lory.crossman@hotmail.com,3/2/1983,8/28/2011,94966,21%,83311
Jarred,Hollingshead,M,jarred.hollingshead@yahoo.com,4/18/1964,11/17/1995,92988,27%,36689
Minh,Linderman,M,minh.linderman@shaw.ca,5/9/1980,9/22/2017,178171,10%,95646
Bret,Veasley,M,bret.veasley@gmail.com,4/19/1985,6/11/2017,194880,7%,62246
Kiersten,Hirano,F,kiersten.hirano@gmail.com,6/26/1962,4/26/2004,197986,6%,23356
Brain,Mazzola,M,brain.mazzola@hotmail.com,3/20/1989,4/17/2010,138969,28%,67401
James,Spier,M,james.spier@aol.com,6/6/1999,6/2/2020,135111,26%,14012
Russel,Whitbeck,M,russel.whitbeck@gmail.com,3/8/1986,5/1/2014,79409,28%,52077
Holley,Ham,F,holley.ham@yahoo.co.in,5/30/1992,3/17/2018,198343,16%,31775
Dinah,Bastarache,F,dinah.bastarache@yahoo.com,7/5/1988,5/21/2017,96063,30%,60302
Larry,Hansen,M,larry.hansen@gmail.com,2/7/1979,11/18/2007,109335,24%,21412
Benedict,Arnott,M,benedict.arnott@exxonmobil.com,5/9/1989,3/18/2014,180214,2%,36874
Pat,Bueno,M,pat.bueno@gmail.com,10/11/1980,6/4/2008,185499,14%,33454
Temika,Eichelberger,F,temika.eichelberger@gmail.com,2/19/1990,3/8/2018,105883,9%,62890
Una,Helms,F,una.helms@aol.com,2/11/1976,12/20/1997,46008,19%,2918
Kyoko,Maxey,F,kyoko.maxey@bellsouth.net,9/16/1998,3/10/2020,191796,8%,29424
Christoper,Valladares,M,christoper.valladares@rediffmail.com,9/13/1962,8/2/1999,85949,30%,70760
Heide,Villalon,F,heide.villalon@ntlworld.com,4/19/1998,9/5/2019,158946,16%,53058
Karlene,Radabaugh,F,karlene.radabaugh@cox.net,5/1/1989,5/28/2016,183579,28%,62325
Maryellen,Barbera,F,maryellen.barbera@charter.net,3/2/1965,5/29/1993,48812,28%,62880
Davida,Atencio,F,davida.atencio@bellsouth.net,2/26/1964,3/1/1999,65719,26%,19056
Cecily,Tobar,F,cecily.tobar@hotmail.com,12/19/1973,10/9/2016,167176,29%,30112
Mindi,Millay,F,mindi.millay@yahoo.com,4/10/1979,12/8/2011,196274,29%,38683
Jacinda,Oakley,F,jacinda.oakley@gmail.com,1/22/1962,8/22/1995,98578,4%,13072
Junior,Vanarsdale,M,junior.vanarsdale@shell.com,6/30/1982,10/25/2019,172866,8%,59445
Madge,Dufour,F,madge.dufour@gmail.com,4/14/1971,11/14/2013,76401,11%,18501
Marjory,Goodall,F,marjory.goodall@gmail.com,7/8/1965,1/8/2020,136604,20%,79934
Carlita,Blackburn,F,carlita.blackburn@hotmail.com,10/1/1970,5/13/2015,193566,10%,50015
Albert,Duet,M,albert.duet@gmail.com,12/18/1966,6/5/2004,179976,2%,25904
Major,Nelson,M,major.nelson@microsoft.com,3/6/1962,10/7/2008,178861,1%,62918
Bryon,Sartin,M,bryon.sartin@yahoo.com,4/3/1968,2/25/2013,137860,20%,74966
Louetta,Fortner,F,louetta.fortner@gmail.com,2/2/1978,9/15/2002,103899,17%,3280
Tona,Worthen,F,tona.worthen@gmail.com,2/1/1994,10/16/2018,106668,26%,73458
Sherice,Andre,F,sherice.andre@aol.com,10/12/1972,7/19/1996,185695,23%,2339
Karine,Poulson,F,karine.poulson@microsoft.com,10/21/1988,3/3/2013,156614,25%,50664
Chere,Herrmann,F,chere.herrmann@earthlink.net,11/24/1995,8/3/2020,129864,14%,27827
Zola,Dorazio,F,zola.dorazio@yahoo.com,5/9/1975,6/25/2014,142095,13%,48001
Renate,Cothren,F,renate.cothren@yahoo.com,12/24/1985,6/22/2018,99454,13%,24841
Kieth,Feely,M,kieth.feely@hotmail.com,2/9/1990,6/30/2020,75219,20%,98502
Herbert,Doud,M,herbert.doud@yahoo.co.uk,7/10/1963,9/4/1999,154398,10%,62410
Robbyn,Thom,F,robbyn.thom@yahoo.ca,7/1/1988,6/6/2012,127437,24%,72419
Emmett,Manley,M,emmett.manley@aol.com,12/2/1960,9/19/2002,166593,24%,85209
Tory,Pereyra,M,tory.pereyra@gmail.com,3/10/1994,5/13/2018,164312,16%,38634
Tess,Lathem,F,tess.lathem@gmail.com,3/16/1962,9/16/2010,175599,12%,40266
Lane,Windley,M,lane.windley@yahoo.ca,3/17/1985,7/10/2012,198407,0%,95053
Jose,Cape,M,jose.cape@gmail.com,5/27/1969,6/20/1995,69972,5%,40415
Donnie,Wilhoite,M,donnie.wilhoite@gmail.com,9/10/1984,8/23/2018,145306,13%,30567
Mckinley,Proper,M,mckinley.proper@hotmail.com,9/28/1961,2/18/2011,79216,14%,18337
Laurena,North,F,laurena.north@apple.com,6/27/1966,5/9/2010,187749,14%,74760
Luther,Carruthers,M,luther.carruthers@aol.com,7/12/1981,3/14/2012,81359,30%,57430
Tatum,Feaster,F,tatum.feaster@ibm.com,5/17/1965,12/6/1987,52900,23%,50154
Bryon,Samson,M,bryon.samson@earthlink.net,11/19/1995,4/4/2018,91160,22%,75208
Dwain,Holbert,M,dwain.holbert@outlook.com,3/10/1963,6/17/1989,187739,14%,15928
Mechelle,Giron,F,mechelle.giron@hotmail.com,2/20/1963,1/17/2012,173930,28%,40258
Isaac,Gerardi,M,isaac.gerardi@ibm.com,7/26/1979,5/5/2006,177573,17%,11972
Toshia,Payan,F,toshia.payan@rediffmail.com,12/1/1986,9/28/2008,149994,25%,34711
Noemi,Florian,F,noemi.florian@gmail.com,7/15/1977,6/18/2001,192683,27%,24747
Nell,Almendarez,F,nell.almendarez@shaw.ca,4/1/1973,10/25/2015,134762,23%,12150
Lenard,Halsted,M,lenard.halsted@aol.com,10/8/1973,3/5/2000,88083,23%,31742
Lynelle,Goodale,F,lynelle.goodale@sbcglobal.net,1/14/1999,4/14/2020,119438,4%,27656
Willis,Alter,M,willis.alter@yahoo.com,8/25/1963,4/22/2009,101418,10%,46919
Elvia,Hultgren,F,elvia.hultgren@yahoo.co.in,8/29/1988,5/28/2020,197344,12%,15555
Pura,Guida,F,pura.guida@hotmail.com,1/18/1973,2/29/2004,93973,4%,72587
Gregory,Iser,F,gregory.iser@gmail.com,12/28/1984,10/14/2013,40870,14%,14454
Stevie,Closson,M,stevie.closson@aol.com,12/11/1963,3/14/1986,79815,9%,53183
Susy,Baer,F,susy.baer@gmail.com,6/4/1962,9/25/1996,114066,28%,28270
Santo,Dufresne,M,santo.dufresne@yahoo.ca,8/5/1983,11/8/2017,188064,21%,20350
Buddy,Donmoyer,M,buddy.donmoyer@shell.com,6/20/1961,4/6/2007,105825,24%,76039
Ramona,Scheer,F,ramona.scheer@shaw.ca,9/23/1972,1/14/1997,163275,21%,36251
James,Shellenberger,M,james.shellenberger@ntlworld.com,3/25/1999,5/24/2020,188728,2%,48103
Leon,Jolicoeur,M,leon.jolicoeur@hotmail.com,3/20/1973,12/25/2007,148960,12%,65653
Ross,Bowden,M,ross.bowden@hotmail.com,8/13/1989,3/11/2016,188490,8%,36604
Hiram,Johanson,M,hiram.johanson@apple.com,9/3/1994,2/8/2016,59226,19%,13786
Magen,Speed,F,magen.speed@ibm.com,2/18/1985,8/26/2011,109035,3%,4733
Dannielle,Trueblood,F,dannielle.trueblood@yahoo.com,10/23/1968,7/1/2017,163545,30%,52099
Amberly,Inglis,F,amberly.inglis@hotmail.co.uk,8/24/1999,8/19/2020,58209,25%,25546
Charisse,Waldron,F,charisse.waldron@aol.com,4/29/1986,9/9/2017,109635,15%,23001
Mozell,Valdivia,F,mozell.valdivia@msn.com,10/25/1996,5/8/2020,59099,16%,38303
Dexter,Cheesman,M,dexter.cheesman@gmail.com,11/17/1997,6/22/2019,49485,3%,30260
Douglass,Oster,M,douglass.oster@gmail.com,3/25/1966,11/28/2013,111989,11%,2302
Tammy,Dimarco,F,tammy.dimarco@verizon.net,7/16/1992,3/15/2015,53493,1%,33614
Angelika,Semon,F,angelika.semon@gmail.com,4/11/1970,10/1/2001,111937,13%,29733
Hal,Battle,M,hal.battle@btinternet.com,2/1/1991,11/30/2017,117730,26%,75201
Frances,Mar,F,frances.mar@hotmail.com,12/14/1966,8/6/1991,66984,29%,53114
Garry,Mooring,M,garry.mooring@yahoo.ca,2/3/1971,2/24/1998,69328,4%,41660
Horace,Youngberg,M,horace.youngberg@hotmail.com,2/25/1993,8/21/2017,141973,29%,71326
Toshiko,Joubert,F,toshiko.joubert@cox.net,8/22/1996,10/16/2019,155005,6%,1863
Bart,Mcelhannon,M,bart.mcelhannon@microsoft.com,12/19/1967,4/26/1994,93010,18%,95543
Byron,Armbruster,M,byron.armbruster@comcast.net,1/19/1968,1/12/2010,97695,11%,61419
Raul,Rohr,M,raul.rohr@bellsouth.net,6/5/1973,9/2/1994,97537,27%,95219
Lester,Coyer,M,lester.coyer@aol.com,12/2/1965,9/30/2009,46321,30%,30518
James,Burchell,M,james.burchell@hotmail.com,5/8/1999,5/20/2020,65038,26%,57725
Christy,Stoll,F,christy.stoll@gmail.com,5/19/1981,11/11/2006,163682,1%,39525
Jimmy,Leeper,M,jimmy.leeper@apple.com,9/22/1970,8/29/2011,153366,21%,42081
Wendell,Hollier,M,wendell.hollier@msn.com,10/31/1967,5/6/2013,117469,2%,22947
Ulysses,Mullenax,M,ulysses.mullenax@gmail.com,10/2/1979,4/7/2017,135694,5%,12307
Roosevelt,Kelly,M,roosevelt.kelly@verizon.net,6/3/1980,2/27/2017,99408,19%,39459
Leonard,Rouse,M,leonard.rouse@gmail.com,12/11/1981,6/19/2008,103100,23%,91383
Wilford,Michalik,M,wilford.michalik@hotmail.com,6/17/1974,8/15/2011,77522,23%,51574
Ellis,Stamey,M,ellis.stamey@yahoo.com,9/15/1969,9/23/1991,67762,24%,30807
Janella,Gonzalez,F,janella.gonzalez@gmail.com,5/11/1964,8/31/2018,106524,1%,54627
Alexis,Seay,M,alexis.seay@microsoft.com,9/30/1960,7/28/2018,71791,23%,37348
Liza,Torpey,F,liza.torpey@hotmail.com,6/20/1997,6/5/2020,81333,8%,32123
Olinda,Aitken,F,olinda.aitken@exxonmobil.com,4/5/1996,11/21/2017,46681,29%,34142
Gabriel,Cissell,F,gabriel.cissell@earthlink.net,9/14/1981,9/1/2009,78712,18%,6237
Wally,Testa,M,wally.testa@hotmail.co.uk,12/9/1992,3/15/2017,148393,11%,10572
Shelly,Ratner,F,shelly.ratner@ntlworld.com,9/2/1990,11/12/2016,72036,28%,85142
Elmo,Sala,M,elmo.sala@aol.com,6/30/1994,7/26/2019,93048,30%,56151
Meridith,Welsch,F,meridith.welsch@bellsouth.net,11/16/1993,6/21/2018,84184,28%,30144
Lyn,Lum,F,lyn.lum@gmail.com,3/13/1965,7/18/1991,58266,7%,48335
Yuko,Yelverton,F,yuko.yelverton@charter.net,6/9/1986,10/15/2016,123549,28%,71721
Rheba,Bagwell,F,rheba.bagwell@yahoo.com,12/6/1982,2/9/2019,155113,4%,59730
Logan,Lyles,F,logan.lyles@msn.com,8/26/1972,3/9/2002,88184,7%,98245
Christene,Kiernan,F,christene.kiernan@charter.net,4/16/1974,5/27/1995,155679,9%,36427
Fletcher,Maggi,M,fletcher.maggi@aol.com,4/7/1998,4/19/2020,183067,1%,70033
Mallie,Slaven,F,mallie.slaven@apple.com,1/28/1966,7/19/2010,81285,6%,32185
Joane,Luman,F,joane.luman@hotmail.com,8/9/1997,5/8/2020,195489,28%,3750
Graig,Healy,M,graig.healy@yahoo.com,10/19/1995,5/23/2018,56306,30%,65773
Geraldo,Toland,M,geraldo.toland@hotmail.com,4/19/1962,10/12/1986,173570,5%,84743
Eddy,Shaw,M,eddy.shaw@cox.net,11/24/1992,12/14/2019,112628,21%,77960
Basil,Cadena,M,basil.cadena@gmail.com,10/11/1963,4/2/2013,132903,5%,58402
Marlys,Bader,F,marlys.bader@aol.com,7/23/1981,4/2/2013,189727,3%,65614
Ninfa,Callis,F,ninfa.callis@yahoo.com,9/10/1990,5/15/2017,136316,2%,47459
Elena,Hallberg,F,elena.hallberg@hotmail.com,6/6/1981,12/13/2007,135364,5%,43321
Joellen,Hopson,F,joellen.hopson@bellsouth.net,12/5/1990,9/25/2015,51765,6%,16636
Bennie,Castano,M,bennie.castano@gmail.com,1/25/1996,4/22/2017,191927,25%,82215
Katheleen,Collman,F,katheleen.collman@exxonmobil.com,5/7/1962,1/26/1990,93348,24%,14467
Shantel,Sowa,F,shantel.sowa@hotmail.com,2/11/1972,9/10/2001,93369,25%,79406
Orval,Buse,M,orval.buse@ibm.com,4/28/1975,9/2/2002,90446,10%,32514
Courtney,Mantz,F,courtney.mantz@cox.net,2/20/1963,1/16/1992,57799,22%,92799
Kaila,Reynoso,F,kaila.reynoso@yahoo.com,2/24/1971,5/26/1992,109988,23%,55775
Vicenta,Nevitt,F,vicenta.nevitt@gmail.com,5/20/1991,7/27/2015,120676,6%,80304
Consuela,Crofoot,F,consuela.crofoot@shell.com,12/18/1998,4/10/2020,136845,15%,8312
Cristobal,Arizmendi,M,cristobal.arizmendi@gmail.com,3/18/1997,12/24/2019,53643,10%,89195
Layne,Barbeau,F,layne.barbeau@gmail.com,8/29/1994,5/21/2017,77339,19%,90062
Ambrose,Trotman,M,ambrose.trotman@gmail.com,3/14/1993,11/14/2017,73975,15%,56118
Chance,Loos,M,chance.loos@hotmail.co.uk,4/23/1998,11/10/2019,110892,6%,53784
Karie,Granados,F,karie.granados@gmail.com,2/2/1994,8/30/2015,189664,28%,1105
Jarvis,Fabian,M,jarvis.fabian@gmail.com,7/23/1991,8/21/2019,174786,3%,38779
Darline,Newson,F,darline.newson@yahoo.com,6/23/1995,8/4/2020,65112,18%,41413
Darwin,Sultan,M,darwin.sultan@aol.com,8/17/1978,4/8/2004,127053,10%,21411
Stephan,Molyneux,M,stephan.molyneux@hotmail.com,3/28/1962,4/13/1991,52471,7%,71318
Lila,Pontius,F,lila.pontius@yahoo.com,2/3/1999,3/16/2020,92494,3%,59406
Natalya,Thoman,F,natalya.thoman@gmail.com,8/15/1982,2/26/2009,73588,29%,97527
Heath,Goodsell,M,heath.goodsell@gmail.com,7/9/1994,6/15/2016,56819,17%,66160
Brian,Villacorta,M,brian.villacorta@ibm.com,5/1/1964,1/25/2011,117585,29%,79177
Brett,Swihart,M,brett.swihart@gmail.com,8/24/1996,1/31/2019,53911,2%,34974
Jesusa,Canada,F,jesusa.canada@yahoo.com,1/8/1964,6/10/1998,79062,5%,12770
Rodolfo,Eversole,M,rodolfo.eversole@gmail.com,7/11/1974,1/18/2003,91218,25%,70721
Norris,Brenner,M,norris.brenner@btinternet.com,10/27/1980,1/18/2014,61927,26%,72136
Jacquelynn,Rosenthal,F,jacquelynn.rosenthal@yahoo.com,3/23/1964,6/10/2009,118267,22%,22242
Eddie,Marine,M,eddie.marine@gmail.com,7/5/1993,7/13/2017,73848,6%,16347
Hector,Stuart,M,hector.stuart@microsoft.com,6/18/1974,11/29/2014,63306,29%,45864
Piper,Skiba,F,piper.skiba@cox.net,5/31/1968,9/20/2014,156330,26%,60658
Domonique,Mollett,F,domonique.mollett@gmail.com,11/16/1979,5/19/2007,163070,26%,49275
Cordell,Fernandez,M,cordell.fernandez@cox.net,12/31/1993,8/1/2015,115417,22%,53944
Bob,Vanhouten,M,bob.vanhouten@aol.com,1/23/1963,8/15/2002,90670,27%,18428
Darron,Shelby,M,darron.shelby@gmail.com,6/23/1996,8/26/2018,138027,20%,34265
Nyla,Powe,F,nyla.powe@btinternet.com,5/5/1966,1/17/2016,66610,16%,57601
Dora,Tulley,F,dora.tulley@rediffmail.com,10/28/1971,3/8/1999,98895,17%,4357
Larry,Enochs,M,larry.enochs@yahoo.com,5/11/1997,10/10/2019,137929,29%,76874
Fletcher,Mah,M,fletcher.mah@gmail.com,9/12/1993,8/9/2016,43161,5%,66526
Wallace,Maser,M,wallace.maser@verizon.net,5/30/1983,4/23/2007,90462,15%,8804
Lyman,Nightingale,M,lyman.nightingale@gmail.com,4/5/1997,7/21/2020,49567,20%,99027
Meaghan,Hittle,F,meaghan.hittle@hotmail.com,5/10/1969,12/13/2017,99235,2%,55937
Tammie,Woodard,F,tammie.woodard@gmail.com,6/18/1962,11/11/2019,119284,24%,65713
Horace,Olmeda,M,horace.olmeda@gmail.com,7/13/1974,11/23/1998,181979,22%,75641
Royce,Wolter,M,royce.wolter@hotmail.co.uk,3/6/1990,2/26/2020,135371,1%,11950
Jamie,Jacinto,M,jamie.jacinto@yahoo.com,4/12/1976,10/18/2006,80768,30%,98405
Tenesha,Chittum,F,tenesha.chittum@gmail.com,4/27/1998,12/20/2019,137849,6%,59641
Seema,Secrest,F,seema.secrest@yahoo.co.uk,3/20/1981,10/19/2002,116793,12%,78735
Hilton,Bohannan,M,hilton.bohannan@microsoft.com,5/8/1973,6/21/2019,79403,8%,25306
Columbus,Mcbride,M,columbus.mcbride@gmail.com,4/19/1989,11/9/2018,83242,24%,72070
Cordell,Battiste,M,cordell.battiste@gmail.com,9/7/1997,4/22/2019,186717,13%,3464
Xochitl,Yocum,F,xochitl.yocum@gmail.com,8/19/1967,10/29/1992,161323,30%,52037
Yael,Wells,F,yael.wells@gmail.com,1/15/1975,7/2/2003,52415,29%,58208
Fredric,Haun,M,fredric.haun@ibm.com,12/7/1989,10/10/2011,44400,18%,78709
Leon,Dirks,M,leon.dirks@comcast.net,2/15/1989,4/25/2018,62655,24%,66711
Marcus,Tao,M,marcus.tao@gmail.com,12/26/1995,6/30/2017,175265,22%,50676
Lawerence,Mccarver,M,lawerence.mccarver@gmail.com,7/11/1970,1/15/2003,165316,15%,56347
Buster,Bellis,M,buster.bellis@shell.com,7/18/1989,11/1/2018,81519,26%,43451
